English,Spanish,Greek,Portuguese,German,Turkish,Vietnamese,Italian,Polish,Russian,Japanese
part,parte,μέρος,parte,Teil,parça,một phần,parte,część,часть,一部
history,historia,ιστορία,história,Geschichte,tarih,lịch sử,storia,historia,история,歴史
search,búsqueda,αναζήτηση,busca,Suche,arama,tìm kiếm,ricerca,szukaj,поиск,検索
only,sólo,μόνο,apenas,nur,sadece,chỉ,solo,tylko,только,のみ
police,policía,αστυνομία,polícia,Polizei,polis,cảnh sát,polizia,policja,полиция,警察
thought,pensamiento,σκέψη,pensamento,Gedanke,düşünce,suy nghĩ,pensiero,myśl,мысль,考えた
help,ayuda,βοήθεια,ajuda,Hilfe,yardım,giúp đỡ,aiuto,pomoc,помощь,助ける
request,petición,αίτημα,pedido,Bitte,istek,yêu cầu,richiesta,prośba,просьба,要求
kind,amable,είδος,tipo,Art,nazik,loại,tipo,uprzejmy,добрый,種類
month,mes,μήνας,mês,Monat,ay,tháng,mese,miesiąc,месяц,月
brother,hermano,αδελφός,irmão,Bruder,kardeş,anh trai,fratello,brat,брат,兄弟
because,porque,γιατί,porque,weil,çünkü,because,perché,ponieważ,потому что,理由
to put,poner,να βάλω,colocar,setzen,koymak,to put,mettere,postawić,поставить,置く
no,no,όχι,não,nein,hayır,no,no,nie,нет,いいえ
leash,correa,λουρί,coleira,Leine,tasma,leash,guinzaglio,smycz,поводок,ひも
them,ellos,αυτοί,eles,sie,onlar,them,loro,oni,они,彼ら
city,ciudad,πόλη,cidade,Stadt,şehir,city,città,miasto,город,都市
each,cada,καθένας,cada,jeder,her biri,each,ciascuno,każdy,каждый,それぞれ
speak,habla,μιλήστε,falar,sprechen,konuşmak,speak,parlare,mówić,говорить,話す
come,ven,έλα,vir,kommen,gelmek,come,venire,przyjść,прийти,来る
should,debería,πρέπει,deveria,sollte,olmalı,should,dovrebbe,powinien,должен,すべき
baby,bebé,μωρό,bebê,Baby,bebek,baby,bambino,dziecko,ребенок,赤ちゃん
long time,mucho tiempo,πολύς χρόνος,longo tempo,lange Zeit,uzun zaman,long time,molto tempo,długi czas,долгое время,長い時間
hours,horas,ώρες,horas,Stunden,saatler,hours,ore,godziny,часы,時間
will,hará,θα,irá,wird,irade,will,sarà,będzie,будет,意志
meet again,reunirse de nuevo,συναντιούνται ξανά,encontrar-se novamente,wiedersehen,tekrar buluşmak,meet again,incontrarsi di nuovo,spotkaj się ponownie,встречаться,また会う
any,cualquiera,οποιοσδήποτε,qualquer,irgendein,herhangi biri,any,qualsiasi,jakiekolwiek,любой,任意の
